f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
0.149378,0.0912863,0.128631,0.0622407,0.0995851,0.145228,0.0746888,0.0829876,0.0829876,0.0829876,0
0.137097,0.0967742,0.108871,0.0645161,0.108871,0.120968,0.0846774,0.0725806,0.116935,0.0887097,0
0.142857,0.0816327,0.0816327,0.0571429,0.0897959,0.134694,0.122449,0.077551,0.138775,0.0734694,0
0.0995763,0.0889831,0.108051,0.116525,0.0762712,0.0868644,0.120763,0.0805085,0.15678,0.065678,0
0.104255,0.0787234,0.125532,0.12766,0.0893617,0.106383,0.114894,0.0595745,0.131915,0.0617021,0
0.104213,0.0842572,0.10643,0.0886918,0.10643,0.101996,0.135255,0.0776053,0.124169,0.0709534,0
0.118852,0.0676229,0.102459,0.0983607,0.0737705,0.0983607,0.129098,0.0778688,0.161885,0.0717213,0
0.0977131,0.0665281,0.112266,0.120582,0.0831601,0.112266,0.0977131,0.0852391,0.147609,0.0769231,0
0.187166,0.0641711,0.0748663,0.0561497,0.0668449,0.040107,0.0935829,0.109626,0.13369,0.173797,0
0.192837,0.077135,0.0633609,0.0385675,0.0936639,0.0358127,0.0881543,0.0964187,0.137741,0.176309,0
0.180328,0.0655738,0.0710382,0.0601093,0.0819672,0.0437158,0.0928962,0.103825,0.101093,0.199454,0
0.170604,0.0787402,0.0761155,0.0472441,0.0892388,0.0446194,0.0892388,0.102362,0.110236,0.191601,0
0.167568,0.072973,0.0675676,0.0540541,0.0810811,0.0513514,0.0945946,0.0972973,0.113514,0.2,0
0.144886,0.105114,0.105114,0.102273,0.09375,0.0767045,0.0738636,0.0767045,0.161932,0.0596591,0
0.195513,0.0833333,0.105769,0.0705128,0.099359,0.0833333,0.0769231,0.0897436,0.13141,0.0641026,0
0.233677,0.0756014,0.113402,0.0824742,0.0927835,0.0893471,0.0652921,0.0790378,0.123711,0.0446735,0
0.176871,0.0952381,0.105442,0.0884354,0.0986395,0.0918367,0.0782313,0.0748299,0.142857,0.047619,0
0.199324,0.10473,0.0878378,0.0912162,0.10473,0.0709459,0.0945946,0.0709459,0.108108,0.0675676,0
0.185915,0.0647887,0.0788732,0.0704225,0.0901408,0.056338,0.0929577,0.0873239,0.121127,0.152113,0
0.169863,0.0767123,0.0794521,0.0767123,0.0931507,0.0657534,0.0739726,0.117808,0.112329,0.134247,0
0.218659,0.0816327,0.0845481,0.0641399,0.0758018,0.0641399,0.090379,0.0816327,0.125364,0.113703,0
0.183381,0.0716332,0.0830946,0.0888252,0.0802292,0.0687679,0.0716332,0.111748,0.0974212,0.143266,0
0.174157,0.0702247,0.0786517,0.0814607,0.0814607,0.0421348,0.0786517,0.123596,0.120787,0.148876,0
0.142857,0.112637,0.0906593,0.0714286,0.10989,0.0686813,0.104396,0.0631868,0.126374,0.10989,0
0.128266,0.0902613,0.0902613,0.0783848,0.087886,0.0855107,0.0997625,0.0950119,0.125891,0.118765,0
0.165663,0.0753012,0.0813253,0.0662651,0.0993976,0.060241,0.10241,0.0903614,0.144578,0.114458,0
0.154494,0.0646067,0.0842697,0.0730337,0.0814607,0.0561798,0.0955056,0.103933,0.146067,0.140449,0
0.157746,0.084507,0.0816901,0.0535211,0.0676056,0.0507042,0.121127,0.0957746,0.146479,0.140845,0
0.173469,0.0673469,0.0918367,0.0938775,0.0714286,0.0571429,0.118367,0.0795918,0.144898,0.102041,0
0.212919,0.0741627,0.0837321,0.0717703,0.0813397,0.0550239,0.105263,0.0956938,0.114833,0.105263,0
0.219008,0.072314,0.088843,0.0764463,0.0702479,0.0826446,0.10124,0.088843,0.115702,0.0847107,0
0.206278,0.073991,0.0896861,0.058296,0.0829596,0.073991,0.0964126,0.123318,0.116592,0.0784753,0
0.210526,0.0789474,0.0899123,0.0635965,0.0942982,0.0723684,0.10307,0.100877,0.0899123,0.0964912,0
0.163743,0.0994152,0.0672515,0.0701754,0.105263,0.0643275,0.0935673,0.134503,0.119883,0.0818713,0
0.199475,0.0734908,0.0734908,0.0734908,0.0918635,0.0708661,0.112861,0.0971129,0.128609,0.0787402,0
0.154229,0.0696517,0.0572139,0.0845771,0.0920398,0.0845771,0.106965,0.116915,0.139303,0.0945274,0
0.169231,0.074359,0.0692308,0.0820513,0.0769231,0.0794872,0.120513,0.107692,0.123077,0.0974359,0
0.19174,0.0707965,0.079646,0.100295,0.0914454,0.0678466,0.0973451,0.0884956,0.106195,0.106195,0
0.196721,0.101639,0.0754098,0.0754098,0.108197,0.0754098,0.0655738,0.114754,0.104918,0.0819672,0
0.236196,0.0582822,0.095092,0.0705521,0.0920245,0.0828221,0.0705521,0.0981595,0.107362,0.0889571,0
0.210059,0.0857988,0.0591716,0.10355,0.0798817,0.0621302,0.091716,0.127219,0.10355,0.0769231,0
0.203175,0.104762,0.0666667,0.0825397,0.0857143,0.0603175,0.0857143,0.11746,0.101587,0.0920635,0
0.180108,0.0860215,0.0672043,0.0887097,0.104839,0.061828,0.110215,0.102151,0.110215,0.0887097,0
0.126263,0.10101,0.111111,0.0782828,0.0959596,0.0606061,0.128788,0.0959596,0.10101,0.10101,0
0.156812,0.0976864,0.100257,0.0694087,0.105398,0.0514139,0.125964,0.0899743,0.105398,0.0976864,0
0.130548,0.0966057,0.10705,0.0809399,0.114883,0.0574413,0.0861619,0.10705,0.109661,0.109661,0
0.140845,0.121127,0.0957746,0.0788732,0.0957746,0.0591549,0.107042,0.0957746,0.112676,0.0929577,0
0.146067,0.0898876,0.123596,0.0617978,0.106742,0.0814607,0.11236,0.0926966,0.0926966,0.0926966,0
0.164265,0.0864553,0.0979827,0.0691643,0.112392,0.0749279,0.106628,0.100865,0.103746,0.0835735,0
0.214815,0.11358,0.0864198,0.0617284,0.111111,0.0518519,0.0814815,0.0592593,0.120988,0.0987654,0
0.187192,0.0886699,0.103448,0.0837438,0.0812808,0.0665025,0.0788177,0.0714286,0.108374,0.130542,0
0.171084,0.0891566,0.0963855,0.0819277,0.0963855,0.0578313,0.0963855,0.0626506,0.106024,0.142169,0
0.136364,0.0952381,0.0865801,0.0735931,0.0887446,0.0670996,0.0757576,0.11039,0.108225,0.158009,0
0.140271,0.0837104,0.0927602,0.0746606,0.0837104,0.061086,0.0972851,0.0995475,0.115385,0.151584,0
0.178571,0.0833333,0.111111,0.0515873,0.0992064,0.103175,0.0753968,0.107143,0.123016,0.0674603,0
0.157025,0.0826446,0.11157,0.0661157,0.0909091,0.0950413,0.0950413,0.11157,0.11157,0.0785124,0
0.152727,0.0763636,0.105455,0.0509091,0.101818,0.101818,0.0836364,0.134545,0.127273,0.0654545,0
0.128571,0.075,0.110714,0.075,0.0857143,0.0821429,0.114286,0.146429,0.110714,0.0714286,0
0.142415,0.0835913,0.0959752,0.0804954,0.0959752,0.0835913,0.117647,0.114551,0.120743,0.0650155,0
0.136364,0.0795455,0.0833333,0.0871212,0.094697,0.132576,0.0909091,0.106061,0.128788,0.0606061,0
0.141079,0.06639,0.0954357,0.0954357,0.0871369,0.128631,0.0871369,0.112033,0.136929,0.0497925,0
0.132143,0.0928571,0.110714,0.0714286,0.1,0.0964286,0.0857143,0.1,0.117857,0.0928571,0
0.105263,0.0736842,0.0982456,0.108772,0.0947368,0.0982456,0.0982456,0.0701754,0.178947,0.0736842,0
0.101695,0.101695,0.135593,0.0983051,0.0949153,0.118644,0.135593,0.0813559,0.0881356,0.0440678,0
0.17192,0.0888252,0.0687679,0.0573066,0.0859599,0.0916905,0.108883,0.0945559,0.154728,0.0773639,0
0.131054,0.0826211,0.0940171,0.0797721,0.0968661,0.0854701,0.0911681,0.0826211,0.150997,0.105413,0
0.135501,0.0867209,0.100271,0.0840108,0.097561,0.0948509,0.0813008,0.0758808,0.159892,0.0840108,0
0.149184,0.0862471,0.0862471,0.0862471,0.0955711,0.100233,0.109557,0.0792541,0.144522,0.0629371,0
0.173077,0.0841346,0.0841346,0.112981,0.0721154,0.0985577,0.132212,0.0649038,0.110577,0.0673077,0
0.16317,0.0862471,0.100233,0.123543,0.0885781,0.0932401,0.104895,0.0512821,0.128205,0.0606061,0
0.151163,0.0906977,0.0953488,0.0953488,0.0837209,0.0790698,0.0767442,0.0860465,0.106977,0.134884,0
0.153333,0.0644444,0.08,0.115556,0.0777778,0.0755556,0.0755556,0.0888889,0.12,0.148889,0
0.161446,0.060241,0.086747,0.0891566,0.0795181,0.0530121,0.086747,0.108434,0.137349,0.137349,0
0.199095,0.0746606,0.0791855,0.0882353,0.0723982,0.0497738,0.0701357,0.106335,0.138009,0.122172,0
0.171642,0.0646766,0.0970149,0.0895522,0.0820896,0.0621891,0.0845771,0.0696517,0.121891,0.156716,0
0.176282,0.102564,0.108974,0.0705128,0.108974,0.0801282,0.0897436,0.108974,0.105769,0.0480769,0
0.160714,0.113095,0.0982143,0.0565476,0.119048,0.0684524,0.0922619,0.107143,0.119048,0.0654762,0
0.188925,0.0912052,0.0651466,0.0749186,0.110749,0.0846905,0.0879479,0.0879479,0.127036,0.0814332,0
0.17193,0.119298,0.0666667,0.0807018,0.119298,0.0596491,0.077193,0.0982456,0.14386,0.0631579,0
0.163823,0.0921502,0.0887372,0.0989761,0.0887372,0.0819113,0.0682594,0.102389,0.16041,0.0546075,0
0.160714,0.0922619,0.0952381,0.0744048,0.119048,0.0625,0.0833333,0.0833333,0.122024,0.107143,0
0.145299,0.0797721,0.0911681,0.0883191,0.102564,0.0626781,0.0854701,0.111111,0.119658,0.11396,0
0.148148,0.0740741,0.0802469,0.101852,0.104938,0.058642,0.0740741,0.0987654,0.126543,0.132716,0
0.155224,0.080597,0.0865672,0.0835821,0.110448,0.0716418,0.0686567,0.113433,0.101493,0.128358,0
0.143631,0.0758808,0.0758808,0.0731707,0.111111,0.0569106,0.097561,0.116531,0.113821,0.135501,0
0.15903,0.0889488,0.0781671,0.0808625,0.118598,0.06469,0.105121,0.110512,0.123989,0.0700809,0
0.190601,0.0861619,0.0913838,0.0966057,0.101828,0.0704961,0.0913838,0.109661,0.0887728,0.073107,0
0.170103,0.0953608,0.0876289,0.0824742,0.0979381,0.0747423,0.113402,0.100515,0.108247,0.0695876,0
0.151589,0.107579,0.0953545,0.0782396,0.0953545,0.0806846,0.100244,0.0977995,0.0977995,0.0953545,0
0.141711,0.101604,0.0962567,0.0935829,0.101604,0.0882353,0.0989305,0.104278,0.101604,0.0721925,0
0.222707,0.0917031,0.0917031,0.0742358,0.100437,0.0873362,0.0655022,0.0829694,0.152838,0.0305677,0
0.247863,0.0811966,0.111111,0.0683761,0.0555556,0.0769231,0.0555556,0.0982906,0.179487,0.025641,0
0.209877,0.106996,0.0987654,0.0823045,0.0781893,0.090535,0.0658436,0.111111,0.123457,0.0329218,0
0.186047,0.104651,0.124031,0.0658915,0.0891473,0.0891473,0.0775194,0.0697674,0.162791,0.0310078,0
0.201613,0.120968,0.125,0.0604839,0.0967742,0.104839,0.0604839,0.0927419,0.108871,0.0282258,0
0.120635,0.0825397,0.101587,0.0888889,0.114286,0.107937,0.114286,0.0888889,0.11746,0.0634921,0
0.0872483,0.0838926,0.114094,0.0704698,0.104027,0.127517,0.114094,0.0939597,0.134228,0.0704698,0
0.0859873,0.105096,0.089172,0.0605096,0.117834,0.111465,0.127389,0.0955414,0.117834,0.089172,0
0.0948905,0.105839,0.0766423,0.0656934,0.135036,0.080292,0.131387,0.109489,0.109489,0.0912409,0
0.118881,0.0839161,0.115385,0.0559441,0.0874126,0.101399,0.146853,0.0839161,0.122378,0.0839161,0
0.171946,0.0882353,0.0837104,0.0791855,0.0859729,0.061086,0.0950226,0.0995475,0.108597,0.126697,0
0.163223,0.0847107,0.0847107,0.0867769,0.088843,0.0578512,0.0909091,0.113636,0.0847107,0.144628,0
0.152401,0.085595,0.0793319,0.0709812,0.0897704,0.0688935,0.102296,0.129436,0.0647182,0.156576,0
0.162745,0.0745098,0.0941177,0.0607843,0.0803922,0.0705882,0.0941177,0.131373,0.0647059,0.166667,0
0.157576,0.0929293,0.0828283,0.0585859,0.0828283,0.0707071,0.0828283,0.115152,0.0787879,0.177778,0
0.188726,0.0980392,0.0759804,0.0710784,0.0931373,0.0857843,0.102941,0.0637255,0.110294,0.110294,0
0.1875,0.0949074,0.0925926,0.0833333,0.12037,0.0694444,0.104167,0.0740741,0.0717593,0.101852,0
0.162562,0.0960591,0.091133,0.0517241,0.1133,0.0862069,0.0985222,0.0837438,0.0886699,0.128079,0
0.17268,0.0798969,0.100515,0.0798969,0.0824742,0.0798969,0.100515,0.0798969,0.103093,0.121134,0
0.170051,0.0786802,0.0812183,0.0761421,0.0989848,0.0964467,0.0939086,0.0812183,0.0964467,0.126904,0
0.192982,0.0827068,0.0626566,0.0701754,0.0927318,0.0601504,0.0827068,0.132832,0.075188,0.14787,0
0.172043,0.0967742,0.0817204,0.0516129,0.0924731,0.0516129,0.0731183,0.148387,0.0967742,0.135484,0
0.154309,0.0961924,0.0661323,0.0420842,0.0941884,0.0641283,0.114228,0.142285,0.0841683,0.142285,0
0.15367,0.105505,0.0733945,0.059633,0.0825688,0.059633,0.110092,0.135321,0.0802752,0.139908,0
0.162736,0.0872642,0.0778302,0.0566038,0.0778302,0.0636792,0.0825472,0.141509,0.0754717,0.174528,0
0.170213,0.112462,0.0942249,0.0729483,0.0881459,0.0790274,0.106383,0.0547112,0.145897,0.0759878,0
0.176301,0.104046,0.0895954,0.0549133,0.104046,0.0809249,0.112717,0.0751445,0.132948,0.0693642,0
0.186335,0.0807453,0.121118,0.0590062,0.0869565,0.0776398,0.10559,0.0776398,0.136646,0.068323,0
0.163636,0.0939394,0.136364,0.0666667,0.106061,0.0909091,0.0818182,0.0636364,0.139394,0.0575758,0
0.173203,0.0653595,0.107843,0.0751634,0.0882353,0.0620915,0.104575,0.0849673,0.133987,0.104575,0
0.119874,0.0757098,0.0977918,0.0725552,0.104101,0.0914827,0.132492,0.104101,0.107256,0.0946372,0
0.112462,0.0607903,0.0638298,0.103343,0.0820669,0.100304,0.106383,0.112462,0.139818,0.118541,0
0.0940171,0.0712251,0.0911681,0.0683761,0.116809,0.0769231,0.11396,0.116809,0.108262,0.14245,0
0.121622,0.0675676,0.0810811,0.0810811,0.0945946,0.0837838,0.12973,0.108108,0.118919,0.113514,0
0.114551,0.0712074,0.0650155,0.0681114,0.105263,0.0866873,0.114551,0.108359,0.145511,0.120743,0
0.160305,0.0941476,0.0916031,0.0916031,0.0890585,0.0559796,0.0941476,0.086514,0.119593,0.117048,0
0.164557,0.0658228,0.078481,0.101266,0.0759494,0.0607595,0.0911392,0.101266,0.116456,0.144304,0
0.158537,0.0658537,0.0902439,0.117073,0.0780488,0.0658537,0.0658537,0.0878049,0.114634,0.156098,0
0.147059,0.0775401,0.0989305,0.0855615,0.0641711,0.0614973,0.0828877,0.112299,0.128342,0.141711,0
0.15896,0.0895954,0.0635838,0.0751445,0.0924855,0.066474,0.066474,0.121387,0.109827,0.156069,0
0.190736,0.0817439,0.111717,0.0735695,0.0790191,0.0626703,0.0735695,0.122616,0.0899183,0.114441,0
0.160563,0.0704225,0.0535211,0.0929577,0.0676056,0.0676056,0.104225,0.0929577,0.129577,0.160563,0
0.177112,0.0871935,0.0871935,0.0735695,0.0790191,0.0490463,0.0953678,0.0653951,0.155313,0.13079,0
0.1325,0.0775,0.095,0.0925,0.09,0.0675,0.0925,0.075,0.1425,0.135,0
0.153425,0.0712329,0.090411,0.0821918,0.0876712,0.0520548,0.0849315,0.10411,0.134247,0.139726,0
0.134367,0.0645995,0.0852713,0.108527,0.0801034,0.0645995,0.0801034,0.0956072,0.129199,0.157623,0
0.208333,0.0735294,0.0906863,0.0808824,0.0808824,0.0784314,0.117647,0.0735294,0.117647,0.0784314,0
0.2,0.0870588,0.0941176,0.0917647,0.0729412,0.0752941,0.110588,0.0776471,0.0894118,0.101176,0
0.19708,0.0754258,0.111922,0.0705596,0.0827251,0.0778589,0.126521,0.0875912,0.0948905,0.0754258,0
0.189427,0.0881057,0.0903084,0.0859031,0.0572687,0.0638767,0.121145,0.092511,0.103524,0.10793,0
0.196305,0.0923788,0.0808314,0.0969977,0.0623557,0.0715935,0.122402,0.0808314,0.108545,0.0877598,0
0.207317,0.0894309,0.105691,0.0772358,0.0934959,0.0772358,0.0813008,0.101626,0.126016,0.0406504,0
0.181818,0.0769231,0.0979021,0.0769231,0.0909091,0.0944056,0.0769231,0.0909091,0.15035,0.0629371,0
0.200743,0.0892193,0.107807,0.0855019,0.0966543,0.0855019,0.070632,0.0780669,0.122677,0.063197,0
0.220217,0.0758123,0.140794,0.0613718,0.101083,0.064982,0.0902527,0.0794224,0.126354,0.0397112,0
0.214815,0.107407,0.12963,0.0777778,0.1,0.0666667,0.0740741,0.0703704,0.118519,0.0407407,0
0.225296,0.12253,0.106719,0.0790514,0.083004,0.0790514,0.0790514,0.0909091,0.0948617,0.0395257,0
0.167979,0.102362,0.115486,0.0551181,0.110236,0.0577428,0.104987,0.0892388,0.11811,0.0787402,0
0.145251,0.0949721,0.0837989,0.0726257,0.111732,0.0782123,0.0977654,0.0810056,0.145251,0.0893855,0
0.148649,0.0837838,0.0810811,0.0756757,0.102703,0.0837838,0.113514,0.108108,0.0945946,0.108108,0
0.16545,0.0754258,0.114355,0.0851581,0.109489,0.0875912,0.0875912,0.080292,0.0948905,0.0997567,0
0.161458,0.0729167,0.0963542,0.0833333,0.104167,0.0859375,0.0989583,0.0651042,0.122396,0.109375,0
0.18732,0.0749279,0.0893372,0.0835735,0.092219,0.0778098,0.106628,0.0634006,0.132565,0.092219,0
0.178273,0.0779944,0.0891365,0.0779944,0.086351,0.0752089,0.114206,0.0779944,0.133705,0.0891365,0
0.193906,0.0914127,0.099723,0.0831025,0.0831025,0.0581717,0.0831025,0.0747922,0.149584,0.0831025,0
0.201995,0.084788,0.0648379,0.0872818,0.0947631,0.0523691,0.102244,0.0872818,0.13217,0.0922693,0
0.192208,0.0961039,0.0727273,0.0571429,0.0831169,0.0961039,0.109091,0.0883117,0.111688,0.0935065,0
0.176119,0.0865672,0.0507463,0.104478,0.0835821,0.0537313,0.080597,0.122388,0.128358,0.113433,0
0.162534,0.0661157,0.0716253,0.0826446,0.104683,0.0495868,0.0936639,0.132231,0.132231,0.104683,0
0.146699,0.0855746,0.0806846,0.0757946,0.0733496,0.0513447,0.117359,0.110024,0.156479,0.102689,0
0.169856,0.0574163,0.069378,0.069378,0.0980861,0.0430622,0.110048,0.138756,0.141148,0.102871,0
0.160606,0.0757576,0.0787879,0.0666667,0.0969697,0.0424242,0.10303,0.118182,0.136364,0.121212,0
0.182648,0.0799087,0.0958904,0.0776256,0.0981735,0.0502283,0.0821918,0.107306,0.100457,0.125571,0
0.208738,0.0703883,0.0679612,0.101942,0.0825243,0.0776699,0.0800971,0.0946602,0.0825243,0.133495,0
0.198992,0.0831234,0.0780856,0.0654912,0.0957179,0.0604534,0.0831234,0.120907,0.0906801,0.123426,0
0.219212,0.0689655,0.0862069,0.0812808,0.110837,0.0394089,0.0738916,0.1133,0.100985,0.105911,0
0.217054,0.0826873,0.0620155,0.0749354,0.0956072,0.0490956,0.0852713,0.118863,0.0852713,0.129199,0
0.128767,0.0657534,0.0547945,0.0410959,0.0931507,0.0383562,0.131507,0.167123,0.126027,0.153425,0
0.156695,0.0569801,0.0940171,0.0626781,0.0854701,0.039886,0.0911681,0.145299,0.119658,0.148148,0
0.139535,0.0674419,0.0860465,0.072093,0.0674419,0.0395349,0.116279,0.167442,0.125581,0.118605,0
0.142857,0.0589569,0.0634921,0.0680272,0.0770975,0.0566893,0.117914,0.151927,0.117914,0.145125,0
0.145,0.0475,0.0825,0.07,0.0675,0.0475,0.1175,0.1525,0.1075,0.1625,0
0.151282,0.0333333,0.0846154,0.0615385,0.0692308,0.0410256,0.0923077,0.215385,0.110256,0.141026,0
0.18593,0.0753769,0.0854271,0.128141,0.0929648,0.0854271,0.0703518,0.0929648,0.113065,0.0703518,0
0.152838,0.10917,0.0851528,0.100437,0.100437,0.0742358,0.0764192,0.106987,0.0982533,0.0960699,0
0.163755,0.0895196,0.0938865,0.100437,0.0764192,0.104803,0.0764192,0.0851528,0.137555,0.0720524,0
0.173626,0.0615385,0.0791209,0.105495,0.0747253,0.0923077,0.0945055,0.103297,0.116484,0.0989011,0
0.176334,0.0672854,0.0765661,0.106729,0.0904872,0.0974478,0.0951276,0.104408,0.109049,0.0765661,0
0.135321,0.0917431,0.0940367,0.139908,0.0917431,0.0711009,0.0848624,0.087156,0.119266,0.0848624,0
0.15262,0.070615,0.0911162,0.134396,0.0865604,0.0728929,0.095672,0.0820046,0.127563,0.0865604,0
0.162037,0.0648148,0.0810185,0.113426,0.0740741,0.0717593,0.101852,0.0833333,0.12963,0.118056,0
0.163636,0.0779221,0.0753247,0.0935065,0.0857143,0.0727273,0.111688,0.0597403,0.111688,0.148052,0
0.157005,0.0652174,0.0821256,0.0942029,0.089372,0.0628019,0.103865,0.0917874,0.118357,0.135266,0
0.175166,0.0953437,0.0687361,0.0731707,0.097561,0.0709534,0.104213,0.0776053,0.121951,0.115299,0
0.176744,0.0674419,0.072093,0.102326,0.1,0.0744186,0.0883721,0.104651,0.106977,0.106977,0
0.141487,0.0863309,0.105516,0.0527578,0.0983213,0.0815348,0.11271,0.0719424,0.141487,0.107914,0
0.160584,0.0729927,0.0778589,0.0778589,0.10219,0.0656934,0.10219,0.10219,0.131387,0.107056,0
0.160465,0.0744186,0.0697674,0.0860465,0.0930233,0.0697674,0.0906977,0.104651,0.123256,0.127907,0
0.0963855,0.0963855,0.0903614,0.0692771,0.120482,0.0783132,0.123494,0.0933735,0.14759,0.0843373,0
0.10303,0.0939394,0.106061,0.0939394,0.109091,0.0969697,0.121212,0.0878788,0.106061,0.0818182,0
0.129683,0.0662824,0.10951,0.106628,0.115274,0.0893372,0.103746,0.0806916,0.118156,0.0806916,0
0.103896,0.0779221,0.123377,0.107143,0.0941558,0.0941558,0.107143,0.0876623,0.126623,0.0779221,0
